Part Number,Description,Shipped,Pack,Piece Price,Total
025900359010,Swisher Sweetss Leaf 10CTct/3PK (C20) | Honey,27,10,19.99,539.73
,,,,,
025900359058,Swisher Sweetss Leaf 10CTct/3PK (C20) | Irish Cream,18,10,19.99,359.82
,,,,,
025900359003,Swisher Sweetss Leaf 10CTct/3PK (C20) | Original,18,10,19.99,359.82
,,,,,
844504002975,Tob American Club 16OZ (C20) | Blue Light,20,1,9.5,190.0
,,,,,
844504002951,Tob American Club 16OZ (C20) | Menthol,15,1,9.5,142.5
,,,,,
070195596602,Tob L/L Big Duke 3OZ Pouches $1.99 (C12) | Regular,52,12,15.99,831.48
,,,,,
070195596169,Tob L/L Big Duke 6CT-16OZ Pre-Priced $9.99 (C4) | Original,7,6,40.0,280.0
,,,,,
033300635368,Tob L/L Bowie Chew B1G1 (C12),2,12,24.99,49.98
,,,,,
033300270521,Tob L/L Bowie Pre-Priced $2.19 12CT (C12),5,12,18.0,90.0
,,,,,
033300270538,Tob L/L Chattanooga $2.19 12CT 3OZ (C12),4,12,18.0,72.0
,,,,,
033300635870,Tob L/L Chewing Tobacco Starr $2.19 Per Pouch 12CT (C12) | Peach,4,12,18.0,72.0
,,,,,
033300635849,Tob L/L Chewing Tobacco Starr $2.19 Per Pouch 12CT (C12) | Regular,64,12,18.0,1152.0
,,,,,
070195354035,Tob L/L Days Work Plug 15CT (C10),1,15,135.0,135.0
,,,,,
033300632541,Tob L/L Lancaster B1G1 (C12),3,6,35.99,107.97
,,,,,
042100007725,Tob L/L Levi Garret Reg 3OZ (C12),12,12,193.99,2327.88
,,,,,
070195594196,Tob L/L Redman America'S Best Chew 6CT (C12) | Golden Blend,39,6,46.0,1794.0
,,,,,
070195594202,Tob L/L Redman America'S Best Chew 6CT (C12) | Original Blend,24,6,46.0,1104.0
,,,,,
070195594400,Tob L/L Redman America'S Best Chew 6CT (C12) | Silver Blend,7,6,46.0,322.0
,,,,,
033300635900,Tob L/L Starr B1G1 (C12) | Regular,4,12,28.99,115.96
,,,,,
799953010111,Tob L/L Stoker 16OZ - 6CT (C4) | Apple,2,6,72.99,145.98
,,,,,
799953024118,Tob L/L Stoker 16OZ - 6CT (C4) | Peach,1,6,72.99,72.99
,,,,,
799953039525,Tob L/L Stoker 3OZ Pouches Red Supreme $1.99 (C12) | Bold,30,12,15.99,479.7
,,,,,
799953039327,Tob L/L Stoker 3OZ Pouches Supreme $1.99 (C12) Red,93,12,15.99,1487.07
,,,,,
860010326299,Tob Lil Leaf  3/$2.99 10/3PK (C30) | Mango,7,10,16.0,112.0
,,,,,
860010326268,Tob Lil Leaf  3/$2.99 10/3PK (C30) | Original,8,10,16.0,128.0
,,,,,
860010326275,Tob Lil Leaf  3/$2.99 10/3PK (C30) | Russian Cream,8,10,16.0,128.0
,,,,,
762446462735,Tob Longhorn Snuff 0.75C Off 5CT (C18) | Long Cut Straight,4,5,7.5,30.0
,,,,,
762446414000,Tob Longhorn Tub 14.4OZ 1CT (C8) | Finecut Natural,48,1,13.99,671.52
,,,,,
762446454006,Tob Longhorn Tub 14.4OZ 1CT (C8) | Long Cut Natural,24,1,13.99,335.76
,,,,,
762446424009,Tob Longhorn Tub 14.4OZ 1CT (C8) | Long Cut Straight,40,1,13.99,559.6
,,,,,
762446404001,Tob Longhorn Tub 14.4OZ 1CT (C8) | Long Cut Wintergreen,11,1,13.99,153.89
,,,,,
33300518043,Tob Snuff Butter Cup Can 4.65OZ 1CT (C12),12,1,36.99,443.88
,,,,,
073100014611,Tob Snuff Copenhagen 5CT Can (C18) | Long Cut,4,5,26.0,104.0
,,,,,
073100014772,Tob Snuff Copenhagen 5CT Can (C18) | Pouches Regular,3,5,26.0,78.0
,,,,,
073100010897,Tob Snuff Copenhagen 5CT Can (C18) | Regular Snuff,3,5,26.0,78.0
,,,,,
42100001761,Tob Snuff Dental Sweet 12CT   (C12),6,12,178.0,1068.0
,,,,,
04254418,Tob Snuff Grizzly 5CT Can (C18) | Pouches Wintergreen,2,5,22.5,45.0
,,,,,
042100001266,Tob Snuff Peach Sweet 12CT (C12),10,12,182.99,1829.9
,,,,,
033300518166,Tob Snuff Rail Road Sweet 4.65 Tc (C12),5,1,37.0,185.0
,,,,,
073100014802,Tob Snuff Skoal 5CT Can (C18) | Long Cut Berry,3,5,26.5,79.5
,,,,,
073100022142,Tob Snuff Skoal 5CT Can (C18) | Long Cut Citrus,3,5,26.5,79.5
,,,,,
073100014789,Tob Snuff Skoal 5CT Pouches (C18) | Wintergreen,5,5,26.5,132.5
,,,,,
033300518203,Tob Snuff Square Sweet Tc 1CT  (C12),100,1,37.0,3700.0
,,,,,
799953209300,Tob Snuff Stoker Tub 12OZ 1CT (C12) | Fine Cut Natural,12,1,13.99,167.88
,,,,,
799953221203,Tob Snuff Stoker Tub 12OZ 1CT (C12) | Longcut Mint,21,1,13.99,293.79
,,,,,
799953209201,Tob Snuff Stoker Tub 12OZ 1CT (C12) | Longcut Natural,60,1,13.99,839.4
,,,,,
799953231202,Tob Snuff Stoker Tub 12OZ 1CT (C12) | Longcut Straight,22,1,13.99,307.78
,,,,,
799953210207,Tob Snuff Stoker Tub 12OZ 1CT (C12) | Longcut Wintergreen,24,1,13.99,335.76
,,,,,
033300518241,Tob Snuff Superior Scotch Tc 1CT    (C12),24,1,37.0,888.0
,,,,,
033300518265,Tob Snuff Tops Mild Tc   (C12),5,1,37.0,185.0
,,,,,
42100002041,Tob Snuff Tube Rose 12CT (Tp) 1.5OZ (C12),4,12,169.99,679.96
,,,,,
787269093218,Tob Up Leef Red Rose Blend 12G 1CT Bottle  (C24),24,1,1.99,47.76
,,,,,
784762071613,Tob Zig Zag Wrap 2F99 25CT (C25) | Apple,4,25,12.99,51.96
,,,,,
784762071637,Tob Zig Zag Wrap 2F99 25CT (C25) | Cherry,2,25,12.99,25.98
,,,,,
784762071644,Tob Zig Zag Wrap 2F99 25CT (C25) | Melon,2,25,12.99,25.98
,,,,,
784762071682,Tob Zig Zag Wrap 2F99 25CT (C25) | Straight Up,2,25,12.99,25.98
,,,,,
784762071668,Tob Zig Zag Wrap 2F99 25CT (C25) | Strawberry,2,25,12.99,25.98
,,,,,
784762078513,Tob Zig Zag Wrap Rillo 4F99 15CT (C24) | Blue,2,15,9.5,19.0
,,,,,
784762078216,Tob Zig Zag Wrap Rillo 4F99 15CT (C24) | Blueberry,2,15,9.5,19.0
,,,,,
784762078810,Tob Zig Zag Wrap Rillo 4F99 15CT (C24) | Green,1,15,9.5,9.5
,,,,,
784762078711,Tob Zig Zag Wrap Rillo 4F99 15CT (C24) | Sweet,2,15,9.5,19.0
,,,,,
031700237762,White Owl 2CT/$1.19 30CT/2PK (C12) | Blue Raspberry,12,30,20.5,246.0
,,,,,
031700238844,White Owl 2CT/$1.19 30CT/2PK (C12) | Cherry Moonshine,5,30,20.5,102.5
,,,,,
031700237700,White Owl 2CT/$1.19 30CT/2PK (C12) | Silver,3,30,20.5,61.5
,,,,,
031700239162,White Owl 2CT/$1.19 30CT/2PK (C12) | Sweet Peachtea Moonshine,12,30,20.5,246.0
,,,,,
031700237694,White Owl 2CT/$1.19 30CT/2PK (C12) | Sweets,12,30,20.5,246.0
,,,,,
031700237885,White Owl 2CT/$1.19 30CT/2PK (C12) | Swirl Chocolate & Vanilla,12,30,20.5,246.0
,,,,,
031700238394,White Owl 2CT/$1.19 30CT/2PK (C12) | Triple Grape,12,30,20.5,246.0
,,,,,
031700237717,White Owl 2CT/$1.19 30CT/2PK (C12) | White Grape,8,30,20.5,164.0
,,,,,
031700238257,White Owl Cig 2F99C 30CT (C12) | White Peach,4,30,17.5,70.0
,,,,,
,,,,,
842426171458,4 Kings 4 For $1.19 15CT (C24) | Black Diamond,1,15,8.65,8.65
,,,,,
842426165211,4 Kings 4 For $1.19 15CT (C24) | Black Sweet,1,15,8.65,8.65
,,,,,
842426165242,4 Kings 4 For $1.19 15CT (C24) | Blueberry Pineapple,1,15,8.65,8.65
,,,,,
842426172059,4 Kings 4 For $1.19 15CT (C24) | Classic Green,1,15,8.65,8.65
,,,,,
842426165273,4 Kings 4 For $1.19 15CT (C24) | Diamond,1,15,8.65,8.65
,,,,,
842426165303,4 Kings 4 For $1.19 15CT (C24) | French Vanilla,1,15,8.65,8.65
,,,,,
842426165334,4 Kings 4 For $1.19 15CT (C24) | Green Sweet,2,15,8.65,17.3
,,,,,
842426165365,4 Kings 4 For $1.19 15CT (C24) | Kiwi Berry,2,15,8.65,17.3
,,,,,
842426165396,4 Kings 4 For $1.19 15CT (C24) | Mango,1,15,8.65,8.65
,,,,,
842426165426,4 Kings 4 For $1.19 15CT (C24) | Melonberry,1,15,8.65,8.65
,,,,,
842426165457,4 Kings 4 For $1.19 15CT (C24) | Napa Grape,1,15,8.65,8.65
,,,,,
842426165488,4 Kings 4 For $1.19 15CT (C24) | Sweet Delicious,1,15,8.65,8.65
,,,,,
842426165518,4 Kings 4 For $1.19 15CT (C24) | Watermelon,2,15,8.65,17.3
,,,,,
842426165549,4 Kings 4 For $1.19 15CT (C24) | Watermelon Grape,1,15,8.65,8.65
,,,,,
842426165570,4 Kings 4 For $1.19 15CT (C24) | White Grape,2,15,8.65,17.3
,,,,,
071610340473,Backwoods 10CT/3PK (C30) | Russian Cream,6,10,24.0,144.0
,,,,,
071610303089,Backwoods 24CT (C25) | Russian Cream,3,24,21.0,63.0
,,,,,
071610340565,Backwoods 8CT/5PK (C30) | Banana,3,8,30.5,91.5
